week,dow,date,session,number,topic,materials,due,prepare,admin_notes
,M,2026-07-27,Lab,4,Lab 4,💻 [lab 4](/lab/lab-4.html),,,
,T,2026-07-28,Lec,19,Logistic Regression 1,"🖥️ [slides 18](/slides/18-logistic-slides.html) <br> 🗒️ [notes 18](/slides/18-logistic.html) <br> ⌨️ [ae 14](/ae/ae-14-github.html) <br> ✅ [ae 14](/ae/ae-14-github-A.html)","Lab 4 - 11:59PM ET <br> Peer Feedback Survey - 11:59PM ET","📘 [ims - chp 9](https://openintro-ims.netlify.app/model-logistic.html#model-logistic)",
,W,2026-07-29,Lec,20,Logistic Regression 2,"🖥️ [slides 19](/slides/19-logistic-2-slides.html) <br> 🗒️ [notes 19](/slides/19-logistic-2.html) <br> ⌨️ [ae 15](/ae/ae-15-github.html) <br> ✅ [ae 15](/ae/ae-15-github-A.html) <br>","","🎥 [Logistic regression](https://youtu.be/AidXFYSYfJg) <br> 🎥 [Prediction and overfitting](https://youtu.be/Qd4lu_Lmwi0)",
,Th,2026-07-30,Lec,21,Intervals,"🖥️ [slides 20](/slides/20-bootstrap-slides.html) <br> 🗒️ [notes 20](/slides/20-bootstrap.html) <br> ⌨️ [ae 16](/ae/ae-16-github.html) <br> ✅ [ae 16](/ae/ae-16-github-A.html) <br>","","🎥 [Quantifying uncertainty](https://www.youtube.com/watch?v=LYpKrtZmQtI) <br> 🎥 [Bootstrapping](https://youtu.be/bdqpI3iVOso) <br> 📘 [ims - chp 12](https://openintro-ims.netlify.app/12-foundations-bootstrapping)",
,Th,2026-07-30,Lab,5,Lab 5,💻 [lab 5](/lab/lab-5.html),,,
,F,2026-07-31,Lec,22,Hypothesis Testing,"🖥️ [slides 21](/slides/21-hypothesis-test-slides.html) <br> 🗒️ [notes 21](/slides/21-hypothesis-test.html) <br> ⌨️ [ae 17](/ae/ae-17-github.html) <br> ✅ [ae 17](/ae/ae-17-github-A.html) <br>","Lab 5 - 11:59PM ET <br> Project Milestone 3 - 11:59PM ET","📘 [ims - chp 11](https://openintro-ims.netlify.app/11-foundations-randomization)",
6,M,2026-08-03,Lec,23,More Inference,"🖥️ [slides 22](/slides/22-more-inference-slides.html) <br> 🗒️ [notes 22](/slides/22-more-inference.html) <br>",,,
,M,2026-08-03,Lab,P4,Project Milestone 4 - Peer Review,💻 [Code Options](/lab/milestone-4-slides.html),Project Milestone 4 - 12:30PM ET,,
,M,2026-08-03,Lab,6,Lab 6,💻 [lab 6](/lab/lab-6.html),,,
,T,2026-08-04,Lec,24,More Inference,"🖥️ [slides 23](/slides/23-inference-recap-slides.html) <br> 🗒️ [notes 23](/slides/23-inference-recap.html) <br> ⌨️ [ae 18](/ae/ae-18-github.html) <br> ✅ [ae 18](/ae/ae-18-github-A.html) <br>",,,
,W,2026-08-05,Lec,25,Final Review,"🖥️ [slides 25](/slides/25-final-review-slides.html) <br> 🗒️ [notes 25](/slides/25-final-review.html) <br> 💯 [Grade Calculator](https://canvas.duke.edu/courses/56756/files)",,,
,Th,2026-08-06,Lab,P5,Project Milestone 5 - Presentations,,"Project - 9:30 AM <br> Lab 6 - 11:59PM ET",,
,F,2026-08-07,exam,,FINAL EXAM - Date TBD,,,,
